"Spanish","Pron Uncia Cin 4"
"Cerdo Hormiguero / Oricteropo","Animales"
"Lobo de tierra / Proteles","Animales"
"Gato abisinio","Animales"
"Víbora","Animales"
"Agutí","Animales"
"Akita","Animales"
"Albatros","Animales"
"Caimán","Animales"
"Alpaca","Animales"
"Anchoa","Animales"
"Angelote","Animales"
"Hormiga","Animales"
" Vermilingua","Animales"
"Antílope","Animales"
"Argalí","Animales"
"Avoceta","Animales"
"Ajolote","Animales"
"Babuino","Animales"
"Tejón","Animales"
"Gato balinés","Animales"
"Bandicut","Animales"
"Caballo árabe","Animales"
"Percebe / Lapa / Barnacla","Animales"
"Barracuda","Animales"
"Murciélago","Animales"
"Beagle (raza de perro)","Animales"
"Oso","Animales"
"Castor","Animales"
"Chinche","Animales"
"Abeja","Animales"
"Escarabajo","Animales"
"Pájaro","Animales"
"Ave del paraíso","Animales"
"Bisonte","Animales"
"Mirio","Animales"
"Jabalí","Animales"
"Bonobo","Animales"
"Periquito australiano","Animales"
"Búfalo","Animales"
"Toro","Animales"
"Buldog","Animales"
"Rana mugidora","Animales"
"Mariposa","Animales"
"Gavilán","Animales"
"Ternero","Animales"
"Camello","Animales"
"Canario","Animales"
"Gato","Animales"
"Oruga","Animales"
"Bagre","Animales"
"Ciempiés","Animales"
"Camaleón","Animales"
"Guepardo","Animales"
"Polluelo","Animales"
"Pollo","Animales"
"Chihuahua / Chihuahueño","Animales"
"Chimpancé","Animales"
"Salmón real / Chinuc / Chinook","Animales"
"Tamias / Ardillas rayadas","Animales"
"Cigarra","Animales"
"Almeja","Animales"
"Gallo","Animales"
"Cacatúa","Animales"
"Cucaracha","Animales"
"Bacalao","Animales"
"Cóndor","Animales"
"Puma","Animales"
"Vaca","Animales"
"Cangrejo","Animales"
"Grulla","Animales"
"Grillo","Animales"
"Cocodrilo","Animales"
"Cuervo","Animales"
"Cuco","Animales"
"Cuscús","Animales"
"Sepia / Jibia / Choco","Animales"
"Dálmata","Animales"
"Ciervo","Animales"
"Cuón / Dole / Perro rojo","Animales"
"Dingo","Animales"
"Pez disco","Animales"
"Dodo / Dronte","Animales"
"Perro","Animales"
"Delfín","Animales"
"Burro","Animales"
"Líron","Animales"
"Libélula","Animales"
"Drever / Dachsbracke","Animales"
"Dromedario","Animales"
"Pato","Animales"
"Dugongo / Dugón","Animales"
"Águila","Animales"
"Lombriz","Animales"
"Tijereta / Tijerilla / Cortatijera","Animales"
"Equidna","Animales"
"Anguila","Animales"
"Anguila electrica","Animales"
"Elefante","Animales"
"Elefante Marino / Mirounga","Animales"
"Alce","Animales"
"Pingüino emperador","Animales"
"Emú","Animales"
"Perro Esquimal","Animales"
"Halcón","Animales"
"Hurón","Animales"
"Luciérnaga","Animales"
"Pez","Animales"
"Flamenco","Animales"
"Pulga","Animales"
"Platija","Animales"
"Mosca","Animales"
"Ardilla voladora","Animales"
"Potro","Animales"
"Zorro","Animales"
"Fox Terrier","Animales"
"Rana","Animales"
"Catán pinto","Animales"
"Jirafa","Animales"
"Gecko","Animales"
"Oso panda / Panda gigante","Animales"
"Jirafa","Animales"
"Cabra","Animales"
"Jilguero","Animales"
"Ganso","Animales"
"Gorila","Animales"
"Saltamontes","Animales"
"Gran Danés","Animales"
"Tiburón blanco","Animales"
"Oso pardo","Animales"
"Marmota","Animales"
" Cobayo / Cuyi","Animales"
" millón","Animales"
"Tiburon martillo","Animales"
"Hámster","Animales"
"Liebre","Animales"
"Aguilucho","Animales"
"Erizo","Animales"
"Gallina","Animales"
"Escarabajo hércules","Animales"
"Cangrejo ermitaño","Animales"
"Arenque","Animales"
"Hipopótamo","Animales"
"Cerdo","Animales"
"Cabalo","Animales"
"Humano","Animales"
"Colibrí","Animales"
"Hiena","Animales"
"Ibis","Animales"
"Iguana","Animales"
"Impala","Animales"
"Indri","Animales"
"Insecto","Animales"
"Chacal","Animales"
"Jaguar","Animales"
"Gato Javanés","Animales"
"Medusa","Animales"
"Kakapo / Kákapu","Animales"
"Canguro","Animales"
"Orca","Animales"
"Paralithodes californiensis","Animales"
"Pingüino rey","Animales"
"Kiwi marrón","Animales"
"Koala","Animales"
"Dragón de Komodo","Animales"
"Kudú","Animales"
"Mariquita / Chinita","Animales"
"Lemino","Animales"
"Lémur","Animales"
"Leopardo","Animales"
"Ligre","Animales"
"León","Animales"
"Pez león colorado","Animales"
"P equeño pingüino azul","Animales"
"Lagartija","Animales"
"Llama","Animales"
"Langosta","Animales"
"Lince","Animales"
"Guacamayo","Animales"
"Urraca","Animales"
"Mamut","Animales"
"Manatí","Animales"
"Mandril","Animales"
"Marjor","Animales"
"Mastín","Animales"
"Efímera","Animales"
"Suricata / Gato de roca","Animales"
"Milpiés","Animales"
"Topo","Animales"
"Molly","Animales"
"Mangosta","Animales"
"Mestizo","Animales"
"Mono","Animales"
"Gallineta","Animales"
"Alce","Animales"
"Polilla","Animales"
"Ratón","Animales"
"Mula","Animales"
"Neandertal","Animales"
"Tritón","Animales"
"Ruiseñor","Animales"
"Numbat","Animales"
"Ocelote","Animales"
"Pulpo","Animales"
"Okapi","Animales"
"Proteo","Animales"
"Zarigüeya","Animales"
"Orangután","Animales"
"Avestruz","Animales"
"Nutria","Animales"
"Ostra","Animales"
"Búho","Animales"
"Pantera","Animales"
"Periquito","Animales"
"Pavo Real","Animales"
"Pekinés","Animales"
"Pelícano","Animales"
"Pingüino","Animales"
"Persa","Animales"
"Faisán","Animales"
"Cerdo","Animales"
"Pica americana","Animales"
"Piraña","Animales"
"Ornitorrinco","Animales"
"Pointer inglés","Animales"
"Caniche","Animales"
"Puercoespín","Animales"
"Pósum","Animales"
"Gamba","Animales"
"Frailecillo","Animales"
"Pug / Carlino / Doguillo","Animales"
"Puma","Animales"
"Codorniz","Animales"
"Quetzal","Animales"
"Quokka","Animales"
"Quol","Animales"
"Conejo","Animales"
"Mapache","Animales"
"Ragdoll","Animales"
"Rata","Animales"
"Serpiente de cascabel","Animales"
"Reno","Animales"
"Rinoceronte","Animales"
"Petirrojo","Animales"
"Rottweiler","Animales"
"Tigre dientes de sable","Animales"
"Saola","Animales"
"Escorpión","Animales"
"Dragón de mar","Animales"
"León Marino","Animales"
"Caballito de Mar","Animales"
"Foca","Animales"
"Tiburón","Animales"
"Oveja","Animales"
"Camarón","Animales"
"Siamés","Animales"
"Siberiano","Animales"
"Mofeta","Animales"
"Oso Perezoso","Animales"
"Caracol","Animales"
"Serpiente","Animales"
"Tortuga Mordedora / Bache","Animales"
"Snowshoe","Animales"
"Búho Nival","Animales"
"Somalí","Animales"
"Gorrión","Animales"
"Araña","Animales"
"Mono Araña","Animales"
"Esponja","Animales"
"Calamar","Animales"
"Ardilla","Animales"
"Ciervo Volante","Animales"
"Estrella de Mar","Animales"
"Raya con Púa","Animales"
"Armiño","Animales"
"Oso Malayo","Animales"
"Cisne","Animales"
"Tigre","Animales"
"Sapo","Animales"
"Atún","Animales"
"Pavo","Animales"
"Tortuga","Animales"
"Pájaro Paraguas","Animales"
"Buitre","Animales"
"Ualabí","Animales"
"Morsa","Animales"
"Facóquero / Facocero","Animales"
"Avispa","Animales"
"Búfalo de Agua / Búbalo","Animales"
"Comadreja","Animales"
"Ballena","Animales"
"Lobo","Animales"
"Glotón / Carcayú","Animales"
"Uómbat / Wómbat","Animales"
"Tetra Rayos-X","Animales"
"Yak","Animales"
"Cebra","Animales"
"Cebú","Animales"
"Cebrasno","Animales"
"Cebrallo","Animales"
